year,fire_number,fire_start_date,start_month,start_doy,latitude,longitude,fire_origin,general_cause,grid_id_30000m
2022,GWF079,2022-10-18 19:05:00,10.0,291.0,55.268717,-117.981747,Private Land,Resident,"154,82"
2021,EWF154,2021-07-16 22:49:00,7.0,197.0,53.34975,-115.448183,Provincial Land,Lightning,"156,73"
2021,LWF190,2021-08-16 14:00:00,8.0,228.0,55.2627,-113.216967,Indian Reservation,Resident,"163,78"
2021,WWF117,2021-08-05 23:24:00,8.0,217.0,54.45694,-117.08825,Provincial Land,Lightning,"154,78"
2021,RWF094,2021-08-17 08:34:00,8.0,229.0,52.84755,-115.165583,Provincial Land,Lightning,"156,71"
2021,RWF095,2021-08-11 16:00:00,8.0,223.0,53.086217,-115.219433,Provincial Land,Lightning,"156,72"
2021,WWF120,2021-07-29 00:40:00,7.0,210.0,54.051705,-115.921372,Provincial Land,Lightning,"156,76"
2021,SWF152,2021-08-18 18:00:00,8.0,230.0,56.54495,-113.684233,Provincial Land,Lightning,"164,83"
2022,LWF130,2022-07-27 13:00:00,7.0,208.0,55.258217,-113.2258,Indian Reservation,Resident,"163,78"
2022,LWF131,2022-07-27 17:20:00,7.0,208.0,54.687433,-110.019883,Provincial Park,Lightning,"169,74"
2022,SWF094,2022-07-28 18:50:00,7.0,209.0,56.666183,-113.62655,Provincial Land,Lightning,"164,83"
2022,MWF067,2022-07-28 18:59:00,7.0,209.0,56.755383,-112.246667,Provincial Land,Lightning,"167,82"
2022,MWF066,2022-07-28 19:01:00,7.0,209.0,57.1615,-112.806167,Provincial Land,Lightning,"166,84"
2022,SWF096,2022-07-29 15:28:00,7.0,210.0,54.795117,-115.83335,Provincial Land,Lightning,"157,78"
2022,CWF110,2022-07-29 17:00:00,7.0,210.0,51.282183,-114.851933,Provincial Land,Lightning,"155,66"
2022,EWF061,2022-07-29 19:30:00,7.0,210.0,53.237583,-117.2066,Provincial Land,Lightning,"153,74"
2022,RWF046,2022-08-06 20:00:00,8.0,218.0,52.719828,-115.637468,Provincial Land,Lightning,"155,71"
2022,GWF038,2022-08-12 10:45:00,8.0,224.0,54.903033,-119.225217,Provincial Land,Recreation,"151,81"
2022,EWF072,2022-08-12 15:55:00,8.0,224.0,53.9276,-118.19835,Provincial Land,Lightning,"152,77"
2021,MWF101,2021-08-22 19:05:00,8.0,234.0,57.601517,-112.528167,Provincial Land,Lightning,"167,86"
2021,HWF070,2021-08-15 12:09:00,8.0,227.0,58.8624,-114.5446,Provincial Land,Lightning,"165,91"
2021,CWF112,2021-08-27 15:00:00,8.0,239.0,51.158,-114.848967,Indian Reservation,Resident,"155,65"
2021,CWF124,2021-09-06 12:00:00,9.0,249.0,49.672893,-114.590805,Provincial Land,Recreation,"153,60"
2021,SWF154,2021-09-06 14:00:00,9.0,249.0,55.465038,-116.710192,Provincial Land,Undetermined,"157,81"
2021,LWF198,2021-09-25 13:00:00,9.0,268.0,55.92225,-110.72995,Indian Reservation,Resident,"169,79"
2021,CWF145,2021-09-25 12:00:00,9.0,268.0,49.358783,-114.155383,Provincial Land,Recreation,"154,58"
2021,CWF157,2021-10-09 08:00:00,10.0,282.0,51.549957,-114.780862,Private Land,Resident,"155,66"
2022,LWF005,2022-04-20 15:00:00,4.0,110.0,55.93375,-110.7211,Indian Reservation,Incendiary,"169,79"
2022,LWF007,2022-04-20 14:00:00,4.0,110.0,55.990967,-110.62355,Provincial Land,Incendiary,"169,79"
2022,SWF012,2022-04-22 11:02:00,4.0,112.0,55.34853,-114.735712,Provincial Land,Power Line Industry,"160,79"
2022,WWF008,2022-05-04 09:30:00,5.0,124.0,54.291947,-115.197777,Private Land,Resident,"158,76"
2022,RWF013,2022-05-04 13:30:00,5.0,124.0,52.6942,-115.26895,Indian Reservation,Power Line Industry,"156,71"
2022,CWF015,2022-05-04 08:00:00,5.0,124.0,49.606083,-114.391433,Provincial Land,Recreation,"154,59"
2022,SWF122,2022-08-20 18:11:00,8.0,232.0,55.457667,-114.554333,Provincial Land,Lightning,"161,80"
2021,CWF111,2021-08-25 06:00:00,8.0,237.0,51.0745,-115.028883,Private Land,Resident,"154,65"
2021,GWF096,2021-08-05 21:00:00,8.0,217.0,55.458046,-117.773501,Provincial Land,Lightning,"155,82"
2021,HWF071,2021-08-27 17:15:00,8.0,239.0,59.350136,-117.816141,Provincial Land,Lightning,"160,95"
2021,MWF107,2021-08-27 19:09:00,8.0,239.0,56.382817,-112.832817,Provincial Land,Lightning,"165,82"
2021,HWF075,2021-08-27 13:26:00,8.0,239.0,59.743674,-117.761708,Provincial Land,Lightning,"161,96"
2021,MWF108,2021-08-27 18:38:00,8.0,239.0,56.07639,-111.35603,Provincial Land,Lightning,"168,80"
2021,LWF195,2021-08-29 11:00:00,8.0,241.0,55.815667,-110.853667,Provincial Land,Lightning,"168,78"
2021,HWF076,2021-08-29 15:00:00,8.0,241.0,58.463278,-114.476066,Indian Reservation,Incendiary,"165,90"
2021,RWF098,2021-09-04 00:00:00,9.0,247.0,52.231383,-115.323617,Provincial Land,Recreation,"155,69"
2021,CWF115,2021-09-05 12:00:00,9.0,248.0,51.632222,-115.089553,Provincial Land,Recreation,"155,67"
2021,CWF117,2021-09-05 12:00:00,9.0,248.0,51.632358,-115.105217,Provincial Land,Recreation,"155,67"
2022,GWF039,2022-08-12 17:17:00,8.0,224.0,54.3385,-118.437167,Provincial Land,Lightning,"152,79"
2022,PWF078,2022-08-13 15:15:00,8.0,225.0,57.135,-119.186167,Provincial Land,Lightning,"154,89"
2022,PWF079,2022-08-13 15:40:00,8.0,225.0,57.129,-119.2005,Provincial Land,Lightning,"154,89"
2022,PWF080,2022-08-13 15:15:00,8.0,225.0,57.141333,-119.236833,Provincial Land,Lightning,"154,89"
2022,SWF105,2022-08-13 16:18:00,8.0,225.0,57.242283,-115.672958,Provincial Land,Lightning,"161,86"
2022,SWF107,2022-08-13 16:38:00,8.0,225.0,54.969605,-115.686242,Provincial Land,Lightning,"158,79"
2022,CWF126,2022-08-13 12:00:00,8.0,225.0,51.271323,-115.001633,Provincial Land,Recreation,"154,66"
2022,PWF088,2022-08-13 18:57:00,8.0,225.0,57.211333,-118.283833,Provincial Land,Lightning,"156,88"
2022,PWF089,2022-08-13 18:58:00,8.0,225.0,57.211167,-118.283767,Provincial Land,Lightning,"156,88"
2022,RWF050,2022-08-16 19:00:00,8.0,228.0,52.586352,-115.74837,Provincial Land,Lightning,"155,71"
2022,SWF113,2022-08-20 16:20:00,8.0,232.0,55.86255,-116.469917,Metis Settlement,Lightning,"158,82"
2022,LWF146,2022-08-20 17:53:00,8.0,232.0,55.71185,-111.05945,Provincial Land,Lightning,"168,78"
2022,SWF115,2022-08-20 16:37:00,8.0,232.0,55.5945,-115.5908,Provincial Land,Lightning,"159,81"
2021,RWF092,2021-08-14 19:30:00,8.0,226.0,52.48455,-116.127667,Provincial Land,Recreation,"154,71"
2021,LWF191,2021-08-17 14:00:00,8.0,229.0,55.352,-110.967667,Provincial Land,Power Line Industry,"168,77"
2021,SWF151,2021-08-04 18:00:00,8.0,216.0,55.760483,-114.594933,Provincial Land,Lightning,"161,81"
2021,LWF193,2021-08-18 12:00:00,8.0,230.0,55.085783,-112.523733,Private Land,Agriculture Industry,"164,77"
2021,WWF119,2021-08-18 17:00:00,8.0,230.0,54.296435,-115.12394,Private Land,Resident,"158,76"
2021,EWF155,2021-08-19 17:00:00,8.0,231.0,53.560333,-115.52595,Provincial Land,Undetermined,"156,74"
2021,PWF055,2021-08-24 16:30:00,8.0,236.0,56.475683,-116.379183,Indian Reservation,Resident,"159,84"
2021,MWF104,2021-08-26 18:00:00,8.0,238.0,56.998933,-111.584467,Provincial Land,Undetermined,"168,83"
2021,GWF097,2021-08-05 21:00:00,8.0,217.0,55.411133,-117.73965,Provincial Land,Lightning,"155,82"
2022,EWF075,2022-08-20 17:11:00,8.0,232.0,53.72425,-119.41725,Provincial Park,Lightning,"149,78"
2022,LWF150,2022-08-21 17:20:00,8.0,233.0,54.559533,-114.038567,Provincial Land,Resident,"161,76"
